generations,population,infected_t10,infected_t25,infected_t50,infected_t60,infected_t75,infected_t100,recovered_t10,recovered_t25,recovered_t50,recovered_t60,recovered_t75,recovered_t100,beta,gamma
12,2791,374,390,311,241,46,63,374,1196,2212,2453,2577,2791,0.13389557957859466,0.12874598910034582
12,430,36,47,58,51,8,35,36,134,320,371,379,430,0.1664373949282067,0.15541380792914888
12,552,69,46,43,47,39,60,69,185,336,383,433,552,0.01,0.012297142331681755
12,1191,89,269,116,65,16,21,89,518,1046,1111,1155,1191,0.215273001823894,0.1952438008926205
12,641,8,52,99,40,22,117,8,122,366,406,454,641,0.27569834064097165,0.25136541151627867
12,1512,209,201,89,88,30,179,209,623,1037,1125,1187,1512,0.01,0.013265453374359932
12,2012,269,551,166,140,12,12,269,1150,1762,1902,1975,2012,0.1903506750632774,0.17686235828396787
12,212,18,28,17,7,10,17,18,73,151,158,180,212,0.16314915806175026,0.15367810145136296
12,548,90,39,28,51,5,60,90,221,316,367,392,548,0.01,0.014291489857282328
12,3028,143,403,228,140,102,334,143,860,1993,2133,2352,3028,0.25202661844200236,0.2263227804101106
12,5119,597,826,460,329,164,371,597,1982,3458,3787,4174,5119,0.0855772938000569,0.08470746327014352
12,2529,418,356,220,188,62,210,418,1149,1777,1965,2127,2529,0.013795595345051384,0.01820050761187024
12,9769,517,1450,857,891,584,840,517,2984,5770,6661,7915,9769,0.14597908234490672,0.1372815970587197
8,8459,463,1544,1471,1471,366,463,8459,2797,5874,5874,7147,8459,0.15528505721762093,0.14707926229758264
12,1466,63,345,134,45,17,27,63,572,1310,1355,1385,1466,0.2609191210879642,0.2309771763175074
12,482,73,138,18,2,0,1,73,275,475,477,481,482,0.16807347315129972,0.15561792446041686
10,55,8,10,11,0,0,0,8,18,51,51,51,55,0.2051001163826381,0.18856020918927868
10,62,0,0,7,46,8,0,0,0,7,53,61,62,1.5,0.1
12,231,0,28,22,4,2,14,0,35,136,140,146,231,1.5,0.1
3,287,10,10,86,86,191,10,287,287,86,86,277,287,0.2958951814628614,0.2546263370002693
11,2585,336,511,264,197,47,29,336,847,2155,2352,2470,2585,0.2056598940755791,0.18934130546527914
12,76,0,17,23,1,0,3,0,20,64,65,68,76,1.5,0.1
8,544,38,43,76,76,77,38,544,97,237,237,410,544,0.10380524117838227,0.09769443910275676
12,4448,373,381,357,382,569,15,373,1045,2341,2723,3845,4448,0.09593293083602289,0.0920770316848718
12,6562,724,735,698,682,564,81,724,2104,4020,4702,5927,6562,0.08880964595514049,0.08689710248817226
12,12009,1161,1320,1150,1484,1098,12,1161,3582,7582,9066,11595,12009,0.11989618860613746,0.11431415144312336
12,103,4,0,3,4,40,2,4,19,25,29,82,103,0.7407026548522985,0.6851534105841148
12,51,3,0,2,5,5,7,3,5,17,22,38,51,0.05954720457623737,0.056226936979113816
12,291,4,26,15,18,35,10,4,39,109,127,200,291,0.1753600514747262,0.16391311669976116
12,2980,123,278,19,10,28,23,123,496,2836,2846,2907,2980,0.22608166169153798,0.19721117707058752
12,1084,139,136,119,43,29,6,139,430,979,1022,1067,1084,0.16032012444135046,0.15022138516250647
12,335,9,19,18,51,51,5,9,60,131,182,270,335,0.151152808989109,0.13937706020379145
12,3267,45,123,354,640,498,102,45,228,904,1544,2500,3267,0.17410482798638768,0.15758309410153382
10,2475,242,372,300,251,311,37,242,614,1466,1717,2028,2475,0.12511615641118223,0.11890008235955493
4,568,11,247,164,164,146,11,568,247,411,411,557,568,0.17648845842820574,0.1716105785584531
9,718,41,105,73,42,43,41,718,167,309,351,394,718,0.011854015061275643,0.01
12,134,0,1,0,0,30,29,0,3,5,5,37,134,1.5,0.1
6,65,0,44,7,7,0,0,65,44,65,65,65,65,0.29248333843681773,0.2726872482538714
12,555,0,88,86,83,38,30,0,99,299,382,463,555,1.5,0.1
12,558,57,146,62,38,5,0,57,268,502,540,552,558,0.20007862849113728,0.18282169427011213
12,199,3,4,13,25,61,3,3,9,41,66,169,199,0.16247951870209962,0.1463724994443486
12,154,3,2,7,4,18,13,3,10,27,31,70,154,0.1166321558857619,0.10670548012132196
12,340,78,36,34,32,2,14,78,175,247,279,304,340,0.01,0.0172001237321808
11,74,10,6,5,5,7,5,10,16,41,46,56,74,0.04634284446112942,0.04768676915095961
12,99,6,16,4,6,7,16,6,37,56,62,70,99,0.011175094623918125,0.01
10,81,9,7,4,2,4,2,9,16,52,54,58,81,0.11641540207428301,0.11231334129208534
12,101,3,30,2,6,4,10,3,35,51,57,81,101,0.37432061430184804,0.33547877804955306
12,285,25,45,3,19,28,18,25,90,131,150,192,285,0.01,0.010096094179803321
10,57,8,14,8,2,1,8,8,22,39,41,42,57,0.01,0.012811193486034827
7,87,3,8,30,20,7,3,87,8,51,71,78,87,0.2395367102310165,0.21290601914313703
12,79,4,8,4,2,7,9,4,20,47,49,60,79,0.1204203472553005,0.11404025991525846
12,122,32,6,16,4,0,20,32,51,83,87,87,122,0.1836222624666821,0.1872569187997666
