generations,population,infected_t25,infected_t75,infected_t10,infected_t60,infected_t50,infected_t100,recovered_t25,recovered_t75,recovered_t10,recovered_t60,recovered_t50,recovered_t100,beta,gamma
2.410000000000000000e+02,1.303300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.266500000000000000e+04,1.273900000000000000e+04,1.194200000000000000e+04,1.232100000000000000e+04,1.238100000000000000e+04,1.276800000000000000e+04,7.537488506719950410e-01,2.726653299761325200e-01
4.610000000000000000e+02,1.396000000000000000e+03,1.100000000000000000e+01,0.000000000000000000e+00,2.110000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.317000000000000000e+03,1.396000000000000000e+03,1.143000000000000000e+03,1.219000000000000000e+03,1.380000000000000000e+03,1.396000000000000000e+03,1.972850897369307910e-01,5.809730299511094154e-02
6.300000000000000000e+01,1.479300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+03,2.118000000000000000e+03,1.399000000000000000e+03,1.805000000000000000e+03,1.739000000000000000e+03,1.850000000000000000e+03,7.773157469638614092e-02,3.809193698395063610e-01
2.470000000000000000e+02,1.558700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.394100000000000000e+04,1.397700000000000000e+04,1.349800000000000000e+04,1.369200000000000000e+04,1.393500000000000000e+04,1.413300000000000000e+04,9.499999999999999556e-01,4.464272827444408231e-01
3.090000000000000000e+02,1.429000000000000000e+03,3.300000000000000000e+01,0.000000000000000000e+00,5.340000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.396000000000000000e+03,1.429000000000000000e+03,8.220000000000000000e+02,1.429000000000000000e+03,1.429000000000000000e+03,1.429000000000000000e+03,2.924012300200139469e-01,7.187658474772816442e-02
1.700000000000000000e+02,1.617500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,4.070000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.474400000000000000e+04,1.437700000000000000e+04,1.431600000000000000e+04,1.484400000000000000e+04,1.491300000000000000e+04,1.535200000000000000e+04,9.499999999999999556e-01,3.895964077481607335e-01
3.650000000000000000e+02,9.255000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.196000000000000000e+03,9.244000000000000000e+03,9.157000000000000000e+03,9.191000000000000000e+03,9.170000000000000000e+03,9.244000000000000000e+03,7.567753477395730011e-01,1.933322333848362662e-01
2.020000000000000000e+02,1.558400000000000000e+04,1.530000000000000000e+02,0.000000000000000000e+00,3.148000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542600000000000000e+04,1.554500000000000000e+04,1.234300000000000000e+04,1.558400000000000000e+04,1.558400000000000000e+04,1.558400000000000000e+04,5.603691229931831996e-01,1.057575475003508236e-01
3.590000000000000000e+02,4.692000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015000000000000000e+03,8.910000000000000000e+02,1.451000000000000000e+03,7.620000000000000000e+02,1.452000000000000000e+03,9.030000000000000000e+02,2.952770136066090734e-01,3.901486862125907451e-01
3.540000000000000000e+02,2.648000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.623000000000000000e+03,2.629000000000000000e+03,2.626000000000000000e+03,2.392000000000000000e+03,2.648000000000000000e+03,2.648000000000000000e+03,9.170327972493723667e-01,2.785017235123561363e-01
2.470000000000000000e+02,1.010800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.930000000000000000e+03,9.850000000000000000e+03,9.815000000000000000e+03,1.007600000000000000e+04,9.955000000000000000e+03,9.889000000000000000e+03,9.499999999999999556e-01,2.762008397291116357e-01
3.840000000000000000e+02,1.874200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.591400000000000000e+04,1.743200000000000000e+04,1.646200000000000000e+04,1.595300000000000000e+04,1.557800000000000000e+04,1.670900000000000000e+04,9.499999999999999556e-01,4.573707906982914517e-01
1.090000000000000000e+02,1.348000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.104000000000000000e+03,1.145000000000000000e+03,9.940000000000000000e+02,1.217000000000000000e+03,1.129000000000000000e+03,1.104000000000000000e+03,9.499999999999999556e-01,4.926330967656825655e-01
1.790000000000000000e+02,1.532400000000000000e+04,6.620000000000000000e+02,0.000000000000000000e+00,6.276000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.457100000000000000e+04,1.529600000000000000e+04,7.929000000000000000e+03,1.523600000000000000e+04,1.503700000000000000e+04,1.532400000000000000e+04,4.263650528071162848e-01,9.428341830585679206e-02
4.030000000000000000e+02,1.803800000000000000e+04,1.000000000000000000e+01,0.000000000000000000e+00,2.967000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.595500000000000000e+04,1.669600000000000000e+04,1.230700000000000000e+04,1.631000000000000000e+04,1.660900000000000000e+04,1.633200000000000000e+04,2.190268703108684267e-01,8.764856153970422559e-02
6.400000000000000000e+01,1.499700000000000000e+04,1.980000000000000000e+02,0.000000000000000000e+00,4.655000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.399400000000000000e+04,1.441200000000000000e+04,7.178000000000000000e+03,1.395100000000000000e+04,1.418100000000000000e+04,1.412600000000000000e+04,9.499999999999999556e-01,3.653347542016358585e-01
3.190000000000000000e+02,1.595600000000000000e+04,4.300000000000000000e+01,0.000000000000000000e+00,3.252000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.515100000000000000e+04,1.546700000000000000e+04,1.057100000000000000e+04,1.468500000000000000e+04,1.542200000000000000e+04,1.538600000000000000e+04,3.120935400899646495e-01,1.029261938212050476e-01
2.200000000000000000e+02,1.057900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.670000000000000000e+02,2.500000000000000000e+01,1.940000000000000000e+02,4.600000000000000000e+01,1.280000000000000000e+02,4.400000000000000000e+01,2.065564721845296603e-01,4.212724554766726914e-01
3.640000000000000000e+02,1.366300000000000000e+04,1.800000000000000000e+01,0.000000000000000000e+00,3.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.881000000000000000e+03,1.602000000000000000e+03,1.273000000000000000e+03,2.623000000000000000e+03,2.258000000000000000e+03,2.647000000000000000e+03,4.074455058315310657e-02,6.484191979552850205e-02
2.500000000000000000e+02,9.880000000000000000e+03,9.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.359000000000000000e+03,3.058000000000000000e+03,1.713000000000000000e+03,3.171000000000000000e+03,3.482000000000000000e+03,2.571000000000000000e+03,4.723461549550835303e-01,3.927051663523628555e-01
1.550000000000000000e+02,1.158500000000000000e+04,1.900000000000000000e+01,0.000000000000000000e+00,7.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.231000000000000000e+03,6.480000000000000000e+03,4.106000000000000000e+03,6.197000000000000000e+03,6.074000000000000000e+03,5.173000000000000000e+03,4.434630984266137443e-01,3.429107870041543382e-01
4.940000000000000000e+02,1.214100000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.168100000000000000e+04,1.066600000000000000e+04,1.084100000000000000e+04,1.051700000000000000e+04,1.174900000000000000e+04,1.084400000000000000e+04,9.499999999999999556e-01,4.027952170004481802e-01
1.380000000000000000e+02,1.488000000000000000e+04,2.000000000000000000e+00,0.000000000000000000e+00,1.603000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.185300000000000000e+04,1.315200000000000000e+04,9.765000000000000000e+03,1.206400000000000000e+04,1.271500000000000000e+04,1.275100000000000000e+04,9.499999999999999556e-01,4.709012380853354052e-01
