rep,true_beta,true_gamma,pop,gens,i0,i25,i75,i10,i60,i50,i100,beta_hat,gamma_hat,r0_hat
0,0.506034,0.503949,1020,12,51,50,17,47,49,53,42,0.047611769288778305,0.060055434703826904,0.7927970136854966
1,0.506034,0.503949,1020,12,51,59,41,43,79,42,32,0.0605284683406353,0.0646507665514946,0.9362374426361074
2,0.506034,0.503949,1020,12,51,41,18,62,63,40,55,0.051223769783973694,0.061813171952962875,0.8286869637259959
3,0.506034,0.503949,1020,12,51,66,58,49,33,35,40,0.05288713052868843,0.06209579110145569,0.851702339088947
4,0.506034,0.503949,1020,12,51,37,87,45,36,46,75,0.057283930480480194,0.06384612619876862,0.897218576772243
5,0.506034,0.503949,1020,12,51,39,32,55,28,41,45,0.04427822679281235,0.05903419107198715,0.7500437625852928
6,0.506034,0.503949,1020,12,51,32,48,51,52,64,7,0.05350183695554733,0.06208633631467819,0.8617328728237207
7,0.506034,0.503949,1020,12,51,38,55,46,22,32,13,0.04382067918777466,0.05869191512465477,0.7466220704283487
8,0.506034,0.503949,1020,12,51,45,20,43,37,40,19,0.042299024760723114,0.05807653069496155,0.7283324994547717
9,0.506034,0.503949,1020,12,51,57,43,54,37,51,27,0.05208287760615349,0.06167738139629364,0.8444404808872655
10,0.506034,0.503949,1020,12,51,60,45,56,65,48,17,0.061137616634368896,0.06503759324550629,0.9400350410198051
11,0.506034,0.503949,1020,12,51,48,25,45,49,56,56,0.049216337502002716,0.06069501116871834,0.810879453752673
12,0.506034,0.503949,1020,12,51,57,24,57,38,52,46,0.04943838715553284,0.06082501262426376,0.8127969896353351
13,0.506034,0.503949,1020,12,51,34,55,50,36,15,27,0.045124322175979614,0.059409745037555695,0.759544114310782
14,0.506034,0.503949,1020,12,51,58,10,68,29,41,6,0.05020270496606827,0.061534419655799866,0.8158475410491088
15,0.506034,0.503949,1020,12,51,38,46,41,33,47,19,0.045495886355638504,0.05919575318694115,0.7685667282915002
16,0.506034,0.503949,1020,12,51,45,22,49,30,49,60,0.04394392669200897,0.05885976925492287,0.7465867985599285
17,0.506034,0.503949,1020,12,51,38,38,47,50,32,63,0.04784947633743286,0.06048114225268364,0.7911470345173534
18,0.506034,0.503949,1020,12,51,35,45,60,57,30,35,0.05227236449718475,0.06218399852514267,0.8406079656657914
19,0.506034,0.503949,1020,12,51,45,66,54,30,34,75,0.05200513079762459,0.062137480825185776,0.8369365817055411
20,0.506034,0.503949,1020,12,51,50,48,57,43,57,26,0.055129654705524445,0.0628536120057106,0.8771119581881087
21,0.506034,0.503949,1020,12,51,31,54,49,39,83,34,0.05431507155299187,0.06237456202507019,0.8707888246359313
22,0.506034,0.503949,1020,12,51,48,41,42,37,71,16,0.05018838867545128,0.060673944652080536,0.8271818976538275
23,0.506034,0.503949,1020,12,51,41,50,49,48,67,111,0.058025989681482315,0.06401185691356659,0.9064881489039316
24,0.506034,0.503949,1020,12,51,42,17,45,39,79,32,0.04684224724769592,0.05955495312809944,0.7865382270881955
25,0.506034,0.503949,1020,12,51,46,28,48,41,44,40,0.04634702950716019,0.05966565012931824,0.7767790915997477
26,0.506034,0.503949,1020,12,51,50,49,46,37,53,66,0.05180062726140022,0.06169440969824791,0.8396324320916768
27,0.506034,0.503949,1020,12,51,30,92,48,40,64,21,0.06042220816016197,0.06472320109605789,0.9335478952978133
28,0.506034,0.503949,1020,12,51,53,59,45,35,46,38,0.052031707018613815,0.06169740855693817,0.8433369931671563
29,0.506034,0.503949,1020,12,51,55,37,58,67,80,11,0.06487645208835602,0.06606227159500122,0.982049973789655
30,0.506034,0.503949,1020,12,51,43,26,56,74,16,32,0.050916872918605804,0.06166961044073105,0.8256396068455889
31,0.506034,0.503949,1020,12,51,40,36,60,73,46,29,0.05802203714847565,0.0641397088766098,0.9046195900280252
32,0.506034,0.503949,1020,12,51,52,24,60,32,65,49,0.04959055781364441,0.060854922980070114,0.8148980457979584
33,0.506034,0.503949,1020,12,51,44,23,60,44,37,8,0.04852306470274925,0.060636986047029495,0.8002222383730485
34,0.506034,0.503949,1020,12,51,60,38,52,42,61,20,0.05368758365511894,0.06211116537451744,0.8643789459011749
35,0.506034,0.503949,1020,12,51,47,44,45,68,24,38,0.05308712273836136,0.06229354441165924,0.8522090569697178
