generations,population,infected_t25,infected_t75,infected_t10,infected_t60,infected_t50,infected_t100,beta,gamma
2.260000000000000000e+02,6.760000000000000000e+03,4.403000000000000000e+03,4.358000000000000000e+03,4.289000000000000000e+03,4.378000000000000000e+03,4.434000000000000000e+03,4.313000000000000000e+03,5.327640857882867120e-01,1.887374327237237859e-01
4.860000000000000000e+02,1.949400000000000000e+04,1.102100000000000000e+04,1.082900000000000000e+04,1.039500000000000000e+04,1.087700000000000000e+04,1.065800000000000000e+04,1.095700000000000000e+04,1.939767206378579523e-01,8.613708710575164462e-02
3.340000000000000000e+02,1.416700000000000000e+04,9.395000000000000000e+03,9.778000000000000000e+03,9.652000000000000000e+03,9.521000000000000000e+03,9.591000000000000000e+03,9.511000000000000000e+03,4.024384050703918025e-01,1.319723292398574388e-01
2.410000000000000000e+02,6.550000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.711116165572568071e-02,2.303704979571009337e-01
3.060000000000000000e+02,1.443700000000000000e+04,9.852000000000000000e+03,9.812000000000000000e+03,9.905000000000000000e+03,9.846000000000000000e+03,9.795000000000000000e+03,9.929000000000000000e+03,9.499999999999999556e-01,3.041305143738465833e-01
1.150000000000000000e+02,1.827200000000000000e+04,1.365300000000000000e+04,1.366900000000000000e+04,1.335600000000000000e+04,1.370300000000000000e+04,1.372400000000000000e+04,1.368600000000000000e+04,8.531506140340425759e-01,2.140248512403023218e-01
4.650000000000000000e+02,1.585200000000000000e+04,8.974000000000000000e+03,9.005000000000000000e+03,8.917000000000000000e+03,8.981000000000000000e+03,8.905000000000000000e+03,9.073000000000000000e+03,9.499999999999999556e-01,4.109513638625157950e-01
3.310000000000000000e+02,3.541000000000000000e+03,2.271000000000000000e+03,2.290000000000000000e+03,2.362000000000000000e+03,2.369000000000000000e+03,2.278000000000000000e+03,2.285000000000000000e+03,9.499999999999999556e-01,3.301394587204513065e-01
1.050000000000000000e+02,7.345000000000000000e+03,1.898000000000000000e+03,2.133000000000000000e+03,1.412000000000000000e+03,2.166000000000000000e+03,2.323000000000000000e+03,2.255000000000000000e+03,3.806110347191434817e-01,2.670349554983916240e-01
4.890000000000000000e+02,1.684900000000000000e+04,1.229100000000000000e+04,1.232200000000000000e+04,1.228200000000000000e+04,1.239600000000000000e+04,1.226700000000000000e+04,1.223900000000000000e+04,9.145239415937357341e-01,2.470675746156175134e-01
1.960000000000000000e+02,1.471600000000000000e+04,1.027400000000000000e+04,1.030000000000000000e+04,1.008000000000000000e+04,1.038900000000000000e+04,1.032400000000000000e+04,1.036700000000000000e+04,6.257073551533102185e-01,1.898919755460350411e-01
1.760000000000000000e+02,5.830000000000000000e+02,4.290000000000000000e+02,4.280000000000000000e+02,4.070000000000000000e+02,3.970000000000000000e+02,4.180000000000000000e+02,4.250000000000000000e+02,9.499999999999999556e-01,2.665286233188286502e-01
4.130000000000000000e+02,1.483700000000000000e+04,1.175900000000000000e+04,1.169100000000000000e+04,1.175500000000000000e+04,1.170500000000000000e+04,1.172500000000000000e+04,1.168700000000000000e+04,9.499999999999999556e-01,2.000216526462612332e-01
